transaction_amount,wallet_age_days,transaction_frequency,unique_recipients,unique_senders,avg_transaction_amount,amount_deviation,recipient_is_new,rapid_transaction_flag,suspicious_interaction_count,is_fraud
0.20585003687078368,1132,35,7,12,0.1089619416201564,1.9598770925716025,0,0,0,0
0.746951582740636,1466,7,25,20,0.08809582788927323,0.9399896593675481,1,0,2,0
0.4889445714095118,1377,12,4,12,0.37379471491269,1.0189029078395513,1,0,2,0
0.018119501455745993,1653,17,24,15,0.05403846425960743,0.13539132436892154,0,0,1,0
0.43032996438228455,842,25,22,3,0.03766400588250557,0.1963913324154145,0,0,2,0
0.14215254459727675,887,37,27,20,0.9513861493016663,0.8821739449121324,1,0,0,0
0.07954093965741799,755,43,2,16,0.40030097871070525,0.3618899084749898,0,0,2,0
0.5146980999199005,626,47,23,23,0.3461491340871754,0.6468575743949152,0,0,0,0
0.3172545678807437,291,27,13,13,0.2548395322687102,1.620340333073258,0,0,2,0
0.04242437529015603,534,46,15,7,0.11133144783718732,1.3387627881491,1,0,2,0
0.24564689738889042,753,22,7,22,0.10082599318859227,1.9810716376023265,0,0,2,0
1.6274792454283362,1429,44,12,18,0.017712864371881427,0.7308146864992662,1,0,2,0
0.1768108039088484,1354,22,19,9,0.03641289665284837,0.007650948893453302,0,0,2,0
0.2173036073534379,224,35,5,7,0.11673079644965517,0.4702520852160379,1,1,1,0
0.08799126053415916,1272,19,29,1,0.046665999042129085,1.5015758499920222,0,0,1,0
0.13308453853426472,308,6,19,13,0.8761002883260558,0.916979250250586,1,0,1,0
0.3392456463336799,424,28,15,12,0.013416120065506427,1.3493552570230716,0,0,0,0
1.890588746342154,27,112,86,4,0.8554651674880165,9.386667907914713,1,1,14,1
0.3745997325528037,430,33,26,1,0.27677381997096184,0.30619478929248345,1,0,1,0
0.25732870959337417,1385,36,29,23,0.4226513486441527,0.06298610695209228,0,0,0,0
1.3180193992216962,1,45,54,1,0.3640062280298384,7.589074616944512,1,1,15,1
